Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,33,,-,102,,2,,200,,196,,175,,128,,141,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,33,,-,17,,3,,63,,35,,55,,80,,85,,
Measles††,2018,33,4,,112,,2,,120,,85,,188,,667,,187,,"FL (3 ), OR (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hepatitis B, perinatal infection",2018,33,,-,11,,1,,31,,34,,37,,47,,48,,
"Viral hemorrhagic fevers***, Lujo virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
Cyclosporiasis¶,2018,33,22,,2262,,43,,1194,,535,,645,,388,,784,,"NY (4 ), NYC (1 ), OH (6 ), MD (2 ), VA (1 ), SC (1 ), TX (6 ), CO (1 )"
"Botulism, infant",2018,33,,-,78,,2,,137,,144,,138,,127,,136,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,33,,-,15,,1,,30,,40,,64,,59,,71,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,33,,-,37,,3,,108,,108,,183,,212,,248,,
Paratyphoid fever¶¶,2018,33,,-,20,,,NA,,NA,,NA,,NA,,NA,,NA,
"Botulism, total",2018,33,,-,107,,3,,177,,201,,195,,161,,152,,
Chancroid,2018,33,,-,12,,0,,7,,11,,11,,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,33,,-,92,,2,,189,,159,,135,,266,,233,,
Trichinellosis¶,2018,33,,-,,-,0,,15,,26,,14,,14,,22,,
"Viral hemorrhagic fevers***, Lassa virus",2018,33,,-,,-,,-,,-,,-,1,,1,,,NP,
Cholera,2018,33,,-,2,,0,,4,,15,,5,,5,,14,,
Brucellosis,2018,33,,-,69,,3,,141,,127,,126,,92,,99,,
"Meningococcal disease, Serogroups ACWY",2018,33,1,,62,,2,,107,,126,,120,,123,,142,,OK (1 )
"Polio virus Infection, nonparalytic¶",2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,33,1,,7,,0,,5,,12,,4,,8,,6,,NY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2018,33,,-,,-,,-,,-,,-,,-,1,,,-,
Leptospirosis¶,2018,33,,-,35,,1,,69,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Junin virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
Listeriosis,2018,33,8,,372,,24,,887,,786,,768,,769,,735,,"NY (4 ), KS (1 ), MD (1 ), FL (2 )"
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,33,1,,160,,2,,203,,187,,167,,39,,34,,FL (1 )
Hantavirus pulmonary syndrome¶ ,2018,33,,-,2,,0,,12,,31,,21,,32,,21,,
Yellow fever,2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,33,,-,7,,0,,34,,22,,7,,8,,12,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
Tularemia,2018,33,2,,102,,8,,239,,230,,314,,180,,203,,"PA (1 ), AR (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,33,,-,,-,0,,11,,8,,23,,10,,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,33,,-,8,,1,,75,,15,,11,,11,,22,,
"Q fever¶, acute",2018,33,3,,89,,3,,153,,132,,122,,132,,137,,"MD (1 ), OR (2 )"
Hansen's disease¶,2018,33,,-,33,,2,,94,,78,,89,,88,,81,,
"Q fever¶, chronic",2018,33,,-,16,,1,,40,,32,,34,,36,,33,,
"Meningococcal disease, Unknown serogroup",2018,33,1,,100,,2,,131,,142,,120,,196,,298,,NE (1 )
Plague,2018,33,,-,1,,0,,1,,4,,16,,10,,4,,
"Syphilis, congenital",2018,33,,-,362,,12,,920,,633,,493,,458,,348,,
"Botulism, foodborne",2018,33,,-,9,,1,,19,,31,,37,,15,,4,,
Typhoid fever ,2018,33,2,,171,,9,,419,,376,,367,,349,,338,,"MD (1 ), AZ (1 )"
"Viral hemorrhagic fevers***, Ebola virus ",2018,33,,-,,-,,-,,-,,-,,-,4,,,NP,
"Viral hemorrhagic fever***, Marburg virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, total",2018,33,3,,105,,4,,193,,164,,156,,168,,170,,
"Poliomyelitis, paralytic",2018,33,,-,,-,,-,,-,,-,,-,,-,1,,
Streptococcal toxic-shock syndrome¶,2018,33,2,,195,,3,,372,,283,,335,,259,,224,,"OH (1 ), GA (1 )"
Anthrax,2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
Novel Influenza A virus infections§§,2018,33,2,,12,,1,,66,,23,,7,,3,,21,,CA (2 )
"Influenza-associated pediatric mortality¶,**",2018,33,,-,168,,1,,126,,82,,130,,141,,160,,
"Botulism, other (wound and unspecified)",2018,33,,-,20,,0,,21,,26,,20,,19,,12,,
"Meningococcal disease, Other serogroups",2018,33,,-,12,,0,,25,,21,,21,,25,,17,,
Vancomycin-resistant Staphylococcus aureus¶,2018,33,,-,,-,0,,,-,,-,3,,,-,,-,
"Rabies, human",2018,33,,-,1,,,-,2,,,-,2,,1,,2,,
"Viral hemorrhagic fever***, Sabia virus",2018,33,,-,,-,,-,,-,,-,,-,,NP,,NP,
Smallpox,2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,33,,-,21,,1,,33,,30,,29,,40,,31,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,33,1,,129,,8,,338,,307,,274,,250,,329,,NY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,33,,-,3,,0,,5,,7,,6,,8,,8,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,33,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,33,1,,37,,9,,156,,247,,896,,,NN,,NN,FL (1 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,33,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Serogroup B",2018,33,1,,34,,1,,90,,86,,111,,89,,99,,OK (1 )
"Polio virus Infection, nonparalytic**",2018,34,,-,,-,,-,,-,,-,,-,,-,1,,
Leptospirosis**,2018,34,,-,34,,2,,69,,78,,40,,38,,,NN,
Brucellosis,2018,34,,-,73,,3,,141,,127,,126,,92,,99,,
Streptococcal toxic-shock syndrome**,2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2018,34,,-,1,,0,,,-,6,,3,,,NN,,NN,
Plague,2018,34,,-,20,,,NA,,NA,,NA,,NA,,NA,,NA,
Diphtheria,2018,34,,-,,-,,-,,-,,-,,-,1,,,-,
"Zika virus††,§§§§, Zika virus congenital infection ",2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2018,34,,-,2,,0,,4,,15,,5,,5,,14,,
"Botulism, other (wound and unspecified)",2018,34,,-,22,,0,,21,,26,,20,,19,,12,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2018,34,,-,104,,2,,200,,196,,175,,128,,141,,
"Meningococcal disease, invasive§§§, other serogroup",2018,34,,-,12,,0,,25,,21,,21,,25,,17,,
"Q fever, total**",2018,34,,-,7,,0,,5,,12,,4,,8,,6,,
Psittacosis**,2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2018,34,,-,3,,0,,5,,7,,6,,8,,8,,
"Viral hemorrhagic fever††††, Marburg fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",,,,,,,,,,,,,,,,,,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2018,34,,-,1,,0,,11,,8,,23,,10,,1,,
"Meningococcal disease, invasive§§§, unknown serogroup",2018,34,1,,103,,3,,131,,142,,120,,196,,298,,AK (1 )
Vancomycin-resistant Staphylococcus aureus**,2018,34,1,,40,,3,,109,,108,,183,,212,,248,,GA (1 )
"Hemolytic uremic syndrome, postdiarrheal**",2018,34,1,,137,,8,,338,,307,,274,,250,,329,,MN (1 )
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever, chronic**",2018,34,1,,91,,3,,153,,132,,122,,132,,137,,MD (1 )
"Botulism, infant",2018,34,2,,82,,2,,137,,144,,138,,127,,136,,"NY (1 ), TX (1 )"
"Viral hemorrhagic fever††††, Lujo virus",2018,34,,-,,-,,-,,-,,-,1,,1,,,NP,
Listeriosis,2018,34,7,,402,,23,,887,,786,,768,,769,,735,,"ME (1 ), NY (2 ), NYC (1 ), OH (1 ), FL (1 ), OR (1 )"
"Hepatitis B, virus infection perinatal",2018,34,,-,12,,1,,31,,34,,37,,47,,48,,
"Arboviral diseases¶,** Chikungunya virus††",2018,34,,-,40,,8,,156,,247,,896,,,NN,,NN,
Toxic-shock syndrome (staphylococcal)**,2018,34,,-,380,,11,,920,,633,,493,,458,,348,,
"Meningococcal disease, invasive§§§, serogroup ACWY",2018,34,,-,63,,1,,107,,126,,120,,123,,142,,
Trichinellosis**,2018,34,,-,16,,1,,30,,40,,64,,59,,71,,
Cyclosporiasis**,2018,34,24,,2439,,31,,1194,,535,,645,,388,,784,,"NY (1 ), OH (3 ), MO (1 ), MD (2 ), VA (1 ), SC (1 ), TN (2 ), TX (12 ), MT (1 )"
Smallpox,2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital****",2018,34,2,,195,,3,,372,,283,,335,,259,,224,,"NY (1 ), OH (1 )"
"Influenza-associated pediatric mortality**,***",2018,34,1,,169,,1,,126,,82,,130,,141,,160,,KY (1 )
Measles†††,2018,34,1,,122,,2,,120,,85,,188,,667,,187,,MN (1 )
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2018,34,,-,,-,,-,,-,,-,,-,4,,,NP,
Novel influenza A virus infections¶¶¶,2018,34,1,,14,,1,,66,,23,,7,,3,,21,,OH (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2018,34,,-,93,,2,,189,,159,,135,,266,,233,,
"Botulism, foodborne",2018,34,,-,10,,1,,19,,31,,37,,15,,4,,
"Q fever, acute**",2018,34,1,,107,,4,,193,,164,,156,,168,,170,,
"Arboviral diseases¶,** Powassan virus ",2018,34,,-,10,,0,,34,,22,,7,,8,,12,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2018,34,,-,21,,1,,33,,30,,29,,40,,31,,
SARS-CoV,2018,34,,-,1,,,-,2,,,-,2,,1,,2,,
"Arboviral diseases¶,** Western equine encephalitis virus ",2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2018,34,,-,4,,0,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, total",2018,34,2,,114,,3,,177,,201,,195,,161,,152,,
Typhoid fever,2018,34,1,,114,,7,,239,,230,,314,,180,,203,,MO (1 )
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2018,34,,-,25,,3,,63,,35,,55,,80,,85,,
"Poliomyelitis, paralytic",2018,34,,-,1,,0,,1,,4,,16,,10,,4,,
Anthrax,2018,34,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2018,34,,-,,-,0,,15,,26,,14,,14,,22,,
Hansen's disease**,2018,34,,-,33,,2,,94,,78,,89,,88,,81,,
Yellow fever,2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2018,34,4,,180,,9,,419,,376,,367,,349,,338,,"NY (1 ), PA (2 ), CO (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2018,34,,-,10,,1,,75,,15,,11,,11,,22,,
"Meningococcal disease, invasive§§§, serogroup B",2018,34,,-,35,,1,,90,,86,,111,,89,,99,,
"Viral hemorrhagic fever††††, Lassa fever",2018,34,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2018,34,2,,162,,2,,203,,187,,167,,39,,34,,"PA (1 ), TX (1 )"
Chancroid,2018,34,,-,12,,0,,7,,11,,11,,,-,,-,
"Rabies, human",2018,34,,-,16,,1,,40,,32,,34,,36,,33,,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2018,34,,-,,-,0,,,-,,-,3,,,-,,-,
Leptospirosis¶,2018,35,1,,37,,2,,69,,78,,40,,38,,,NN,MD (1 )
Psittacosis¶,2018,35,,-,7,,0,,5,,12,,4,,8,,6,,
Paratyphoid fever¶¶,2018,35,,-,20,,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fevers***, Lassa virus",2018,35,,-,,-,,-,,-,,-,1,,1,,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,35,,-,12,,0,,25,,21,,21,,25,,17,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,35,2,,157,,2,,203,,187,,167,,39,,34,,"MO (1 ), AL (1 )"
"Viral hemorrhagic fevers***, Ebola virus ",2018,35,,-,,-,,-,,-,,-,,-,4,,,NP,
"Poliomyelitis, paralytic",2018,35,,-,,-,,-,,-,,-,,-,,-,1,,
"Meningococcal disease, Serogroups ACWY",2018,35,1,,65,,1,,107,,126,,120,,123,,142,,OK (1 )
Anthrax,2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than Streptococcal)¶,2018,35,,-,17,,1,,30,,40,,64,,59,,71,,
Plague,2018,35,,-,1,,0,,1,,4,,16,,10,,4,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2018,35,,-,119,,6,,239,,230,,314,,180,,203,,
"Meningococcal disease, Unknown serogroup",2018,35,1,,102,,3,,131,,142,,120,,196,,298,,NY (1 )
"Meningococcal disease, Serogroup B",2018,35,,-,39,,1,,90,,86,,111,,89,,99,,
Novel Influenza A virus infections§§,2018,35,,-,14,,1,,66,,23,,7,,3,,21,,
Typhoid fever ,2018,35,3,,192,,9,,419,,376,,367,,349,,338,,"MO (1 ), VA (1 ), CO (1 )"
Measles††,2018,39,,-,132,,1,,120,,85,,188,,667,,187,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,35,3,,143,,8,,338,,307,,274,,250,,329,,"MO (2 ), ID (1 )"
"Influenza-associated pediatric mortality¶,**",2018,35,,-,169,,1,,126,,82,,130,,141,,160,,
Vancomycin-resistant Staphylococcus aureus¶,2018,35,,-,,-,,-,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Guanarito virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,35,,-,16,,1,,40,,32,,34,,36,,33,,
"Syphilis, congenital",2018,35,,-,403,,11,,920,,633,,493,,458,,348,,
"Viral hemorrhagic fever***, Sabia virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, infant",2018,35,1,,83,,2,,137,,144,,138,,127,,136,,VA (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,35,,-,23,,1,,33,,30,,29,,40,,31,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
Measles††,2018,35,1,,123,,2,,120,,85,,188,,667,,187,,TX (1 )
Cyclosporiasis¶,2018,35,13,,2570,,22,,1194,,535,,645,,388,,784,,"OH (4 ), NE (1 ), TX (6 ), CO (2 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,35,,-,28,,3,,63,,35,,55,,80,,85,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, other (wound and unspecified)",2018,35,,-,22,,0,,21,,26,,20,,19,,12,,
"Rabies, human",2018,35,,-,1,,,-,2,,,-,2,,1,,2,,
Streptococcal toxic-shock syndrome¶,2018,35,1,,199,,3,,372,,283,,335,,259,,224,,VA (1 )
Hansen's disease¶,2018,35,,-,33,,2,,94,,78,,89,,88,,81,,
Listeriosis,2018,35,12,,423,,24,,887,,786,,768,,769,,735,,"ME (1 ), RI (1 ), NY (3 ), NYC (4 ), PA (2 ), VA (1 )"
"Viral hemorrhagic fever***, Marburg virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
Yellow fever,2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,35,,-,12,,1,,75,,15,,11,,11,,22,,
Cholera,2018,35,,-,2,,0,,4,,15,,5,,5,,14,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,35,,-,11,,0,,34,,22,,7,,8,,12,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,35,1,,96,,2,,189,,159,,135,,266,,233,,OK (1 )
Diphtheria,2018,35,,-,,-,,-,,-,,-,,-,1,,,-,
Vancomycin-intermediate Staphylococcus aureus¶,2018,35,1,,41,,3,,109,,108,,183,,212,,248,,OH (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,35,,-,1,,0,,11,,8,,23,,10,,1,,
"Botulism, total",2018,35,1,,115,,3,,177,,201,,195,,161,,152,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,35,,-,3,,0,,5,,7,,6,,8,,8,,
Trichinellosis¶,2018,35,,-,,-,0,,15,,26,,14,,14,,22,,
"Hepatitis B, perinatal infection",2018,35,,-,12,,1,,31,,34,,37,,47,,48,,
Chancroid,2018,35,,-,12,,0,,7,,11,,11,,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,35,,-,4,,0,,12,,31,,21,,32,,21,,
Brucellosis,2018,35,,-,73,,3,,141,,127,,126,,92,,99,,
"Polio virus Infection, nonparalytic¶",2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,35,,-,45,,7,,156,,247,,896,,,NN,,NN,
Smallpox,2018,35,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Junin virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,35,,-,1,,0,,,-,6,,3,,,NN,,NN,
"Botulism, foodborne",2018,35,,-,10,,1,,19,,31,,37,,15,,4,,
"Q fever¶, acute",2018,35,,-,86,,3,,153,,132,,122,,132,,137,,
"Viral hemorrhagic fevers***, Lujo virus",2018,35,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,35,,-,110,,2,,200,,196,,175,,128,,141,,
"Q fever¶, total",2018,35,,-,102,,3,,193,,164,,156,,168,,170,,
Anthrax,2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,36,,-,23,,1,,33,,30,,29,,40,,31,,
"Viral hemorrhagic fevers***, Machupo virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
Psittacosis¶,2018,36,,-,7,,0,,5,,12,,4,,8,,6,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,36,,-,29,,2,,63,,35,,55,,80,,85,,
Hantavirus pulmonary syndrome¶ ,2018,36,,-,7,,0,,12,,31,,21,,32,,21,,
Novel Influenza A virus infections§§,2018,36,,-,14,,1,,66,,23,,7,,3,,21,,
Leptospirosis¶,2018,36,1,,40,,2,,69,,78,,40,,38,,,NN,FL (1 )
"Botulism, other (wound and unspecified)",2018,36,,-,22,,0,,21,,26,,20,,19,,12,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,36,3,,158,,8,,338,,307,,274,,250,,329,,"MO (1 ), VA (2 )"
"Influenza-associated pediatric mortality¶,**",2018,36,,-,169,,1,,126,,82,,130,,141,,160,,
Typhoid fever ,2018,36,2,,203,,10,,419,,376,,367,,349,,338,,OH (2 )
Cyclosporiasis¶,2018,36,3,,2684,,15,,1194,,535,,645,,388,,784,,"NY (1 ), OH (1 ), MD (1 )"
Paratyphoid fever¶¶,2018,36,,-,20,,,NA,,NA,,NA,,NA,,NA,,NA,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,36,,-,48,,7,,156,,247,,896,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,36,,-,15,,1,,75,,15,,11,,11,,22,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
Streptococcal toxic-shock syndrome¶,2018,36,,-,202,,3,,372,,283,,335,,259,,224,,
"Q fever¶, total",2018,36,,-,106,,4,,193,,164,,156,,168,,170,,
"Viral hemorrhagic fevers***, Lujo virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Syphilis, congenital",2018,36,,-,440,,11,,922,,633,,493,,458,,348,,
Hansen's disease¶,2018,36,,-,35,,2,,94,,78,,89,,88,,81,,
"Meningococcal disease, Other serogroups",2018,36,,-,12,,0,,25,,21,,21,,25,,17,,
Listeriosis,2018,36,6,,448,,24,,887,,786,,768,,769,,735,,"NY (2 ), MD (1 ), OK (1 ), AZ (1 ), OR (1 )"
"Meningococcal disease, Unknown serogroup",2018,36,1,,106,,3,,131,,142,,120,,196,,298,,FL (1 )
Measles††,2018,36,,-,129,,2,,120,,85,,188,,667,,187,,
Vancomycin-resistant Staphylococcus aureus¶,2018,36,,-,,-,0,,,-,,-,3,,,-,,-,
"Q fever¶, acute",2018,36,,-,89,,3,,153,,132,,122,,132,,137,,
Brucellosis,2018,36,,-,75,,2,,141,,127,,126,,92,,99,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,36,,-,44,,4,,109,,108,,183,,212,,248,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,36,,-,17,,1,,30,,40,,64,,59,,71,,
"Meningococcal disease, Serogroups ACWY",2018,36,,-,65,,1,,107,,126,,120,,123,,142,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,36,1,,97,,2,,189,,159,,135,,266,,233,,NM (1 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,36,,-,3,,0,,5,,7,,6,,8,,8,,
Yellow fever,2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,36,,-,1,,0,,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,36,,-,11,,0,,34,,22,,7,,8,,12,,
Diphtheria,2018,36,,-,,-,,-,,-,,-,,-,1,,,-,
"Poliomyelitis, paralytic",2018,36,,-,,-,,-,,-,,-,,-,,-,1,,
"Viral hemorrhagic fevers***, Junin virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, total",2018,36,,-,117,,3,,177,,201,,195,,161,,152,,
Trichinellosis¶,2018,36,,-,,-,0,,15,,26,,14,,14,,22,,
Chancroid,2018,36,1,,8,,0,,7,,11,,11,,,-,,-,KY (1 )
"Q fever¶, chronic",2018,36,,-,17,,1,,40,,32,,34,,36,,33,,
Cholera,2018,36,,-,2,,0,,4,,15,,5,,5,,14,,
"Viral hemorrhagic fevers***, Lassa virus",2018,36,,-,,-,,-,,-,,-,1,,1,,,NP,
Tularemia,2018,36,1,,133,,6,,239,,230,,314,,180,,203,,MO (1 )
"Rabies, human",2018,36,,-,1,,0,,2,,,-,2,,1,,2,,
"Viral hemorrhagic fever***, Sabia virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,36,,-,39,,1,,90,,86,,111,,89,,99,,
Plague,2018,36,,-,1,,0,,1,,4,,16,,10,,4,,
"Viral hemorrhagic fever***, Marburg virus",2018,36,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,36,3,,164,,3,,203,,187,,167,,39,,34,,"FL (1 ), AZ (1 ), AK (1 )"
"Polio virus Infection, nonparalytic¶",2018,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,36,,-,10,,0,,19,,31,,37,,15,,4,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,36,,-,113,,2,,200,,196,,175,,128,,141,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,36,,-,1,,0,,11,,8,,23,,10,,1,,
"Hepatitis B, perinatal infection",2018,36,,-,12,,1,,31,,34,,37,,47,,48,,
"Botulism, infant",2018,36,,-,85,,2,,137,,144,,138,,127,,136,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,36,,-,,-,,-,,-,,-,,-,4,,,NP,
"Viral hemorrhagic fever***, Sabia virus",2018,37,,-,,-,,-,,-,,-,,-,,NP,,NP,
