Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,33,,-,115,,2,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,33,4,,160,,3,,185,,210,,226,,223,,178,,"OH (1 ), NE (1 ), MT (1 ), OR (1 )"
Hansen disease§,2014,33,1,,39,,2,,81,,82,,82,,98,,103,,FL (1 )
Hantavirus pulmonary syndrome§,2014,33,,-,14,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,33,2,,97,,8,,329,,274,,290,,266,,242,,"TN (1 ), AR (1 )"
"Hepatitis B, virus infection perinatal",2014,33,,-,25,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,33,,-,101,,1,,161,,52,,118,,61,,358,,
Leptospirosis,2014,33,,-,6,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,33,12,,337,,24,,735,,727,,870,,821,,851,,"NY (3 ), NYC (3 ), PA (2 ), FL (2 ), WA (1 ), CA (1 )"
Measles§§,2014,33,1,,577,,3,,187,,55,,220,,63,,71,,WA (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,33,,-,75,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,33,2,,39,,2,,99,,110,,159,,135,,174,,WA (2 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,33,,-,15,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,33,1,,145,,5,,298,,260,,323,,406,,482,,CA (1 )
Novel influenza A virus infections***,2014,33,,-,,-,122,,21,,313,,14,,4,,43774,,
Plague,2014,33,,-,3,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,33,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,33,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,33,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,33,3,,83,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,33,1,,64,,2,,137,,113,,110,,106,,93,,AR (1 )
"Q fever, chronic",2014,33,2,,19,,1,,33,,22,,24,,25,,20,,MT (2 )
"Rabies, human",2014,33,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,33,1,,8,,0,,9,,9,,4,,5,,3,,ID (1 )
"Rubella, congenital syndrome",2014,33,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,33,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,33,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,33,,-,131,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,33,,-,138,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,33,,-,18,,0,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,33,,-,32,,2,,71,,65,,78,,82,,74,,
Trichinellosis,2014,33,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,33,,-,80,,4,,203,,149,,166,,124,,93,,
Typhoid fever,2014,33,2,,183,,11,,338,,354,,390,,467,,397,,"NY (1 ), NYC (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,33,,-,112,,2,,248,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,33,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,33,25,,475,,44,,1299,,1111,,832,,846,,789,,"NY (1 ), NYC (1 ), PA (1 ), OH (1 ), MD (1 ), FL (3 ), TX (3 ), MT (1 ), CO (1 ), WA (11 ), OR (1 )"
Viral hemorrhagic fever¶¶¶,2014,33,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,33,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,34,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,34,,-,11,,7,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,34,,-,1,,1,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,34,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,34,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,34,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,34,2,,87,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,34,2,,8,,0,,4,,27,,24,,7,,10,,OH (2 )
"Botulism, infant",2014,34,,-,64,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,34,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,34,,-,41,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,34,1,,12,,0,,10,,15,,8,,24,,28,,WA (1 )
Cholera,2014,34,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,34,10,,303,,11,,784,,123,,151,,179,,141,,"IA (1 ), MD (1 ), FL (1 ), TX (7 )"
Diphtheria,2014,34,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,34,,-,15,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,34,1,,117,,2,,222,,205,,145,,200,,236,,TN (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,34,1,,160,,3,,185,,210,,226,,223,,178,,CO (1 )
Hansen disease§,2014,34,,-,39,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,34,,-,14,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,34,11,,109,,8,,329,,274,,290,,266,,242,,"MD (5 ), VA (2 ), TN (1 ), OK (1 ), ID (2 )"
"Hepatitis B, virus infection perinatal",2014,34,,-,24,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,34,,-,101,,1,,161,,52,,118,,61,,358,,
Leptospirosis,2014,34,,-,6,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,34,8,,351,,25,,735,,727,,870,,821,,851,,"MA (1 ), NY (1 ), NYC (1 ), PA (3 ), FL (1 ), TX (1 )"
Measles§§,2014,34,15,,593,,2,,187,,55,,220,,63,,71,,WA (15 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,34,,-,75,,2,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,34,,-,40,,1,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,34,,-,16,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,34,2,,150,,5,,298,,260,,323,,406,,482,,"PA (1 ), FL (1 )"
Novel influenza A virus infections***,2014,34,1,,1,,112,,21,,313,,14,,4,,43774,,OH (1 )
Plague,2014,34,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,34,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,34,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,34,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,34,1,,81,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,34,1,,62,,2,,137,,113,,110,,106,,93,,VA (1 )
"Q fever, chronic",2014,34,,-,19,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,34,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,34,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,34,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,34,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,34,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,34,,-,133,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,34,,-,140,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,34,1,,19,,1,,26,,37,,36,,26,,18,,AK (1 )
Toxic-shock syndrome (staphylococcal)§,2014,34,,-,32,,2,,71,,65,,78,,82,,74,,
Trichinellosis,2014,34,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,34,2,,82,,4,,203,,149,,166,,124,,93,,OK (2 )
Typhoid fever,2014,34,5,,187,,11,,338,,354,,390,,467,,397,,"NYC (3 ), MD (1 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,34,3,,116,,2,,248,,134,,82,,91,,78,,"NY (1 ), NYC (1 ), MI (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,34,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,34,27,,535,,41,,1299,,1111,,832,,846,,789,,"ME (1 ), NY (1 ), NYC (2 ), OH (4 ), MD (1 ), VA (3 ), FL (7 ), TN (2 ), AL (1 ), TX (2 ), WA (1 ), OR (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,34,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,34,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,35,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,35,,-,11,,6,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,35,,-,3,,1,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,35,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,35,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,35,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,35,,-,88,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,35,,-,8,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,35,,-,65,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,35,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,35,2,,50,,2,,99,,114,,79,,115,,115,,"MD (1 ), CA (1 )"
Chancroid,2014,35,1,,13,,0,,10,,15,,8,,24,,28,,CA (1 )
Cholera,2014,35,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,35,3,,311,,8,,784,,123,,151,,179,,141,,"FL (2 ), WA (1 )"
Diphtheria,2014,35,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,35,,-,15,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,35,,-,117,,2,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,35,2,,165,,3,,185,,210,,226,,223,,178,,"MD (1 ), FL (1 )"
Hansen disease§,2014,35,,-,40,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,35,,-,14,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,35,,-,110,,8,,329,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,35,,-,24,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,35,,-,101,,1,,161,,52,,118,,61,,358,,
Leptospirosis,2014,35,,-,7,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,35,10,,368,,24,,735,,727,,870,,821,,851,,"NY (1 ), PA (2 ), OH (2 ), MD (1 ), FL (1 ), TX (3 )"
Measles§§,2014,35,,-,593,,2,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,35,,-,75,,2,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,35,,-,40,,1,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,35,,-,16,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,35,4,,154,,5,,298,,260,,323,,406,,482,,"NY (1 ), NYC (1 ), LA (1 ), CA (1 )"
Novel influenza A virus infections***,2014,35,1,,2,,113,,21,,313,,14,,4,,43774,,OH (1 )
Plague,2014,35,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,35,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,35,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,35,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,35,,-,85,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,35,,-,66,,2,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,35,,-,19,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,35,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,35,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,35,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,35,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,35,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,35,3,,139,,2,,224,,194,,168,,142,,161,,"NY (1 ), MO (1 ), NC (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,35,,-,148,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,35,,-,19,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,35,,-,34,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,35,,-,9,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,35,1,,88,,3,,203,,149,,166,,124,,93,,TN (1 )
Typhoid fever,2014,35,2,,194,,12,,338,,354,,390,,467,,397,,"NYC (1 ), TN (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,35,2,,120,,2,,248,,134,,82,,91,,78,,"NY (1 ), OH (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,35,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,35,31,,595,,37,,1299,,1111,,832,,846,,789,,"NY (3 ), NYC (1 ), MI (1 ), MO (1 ), MD (1 ), VA (1 ), FL (5 ), TX (2 ), WA (14 ), CA (2 )"
Viral hemorrhagic fever¶¶¶,2014,35,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,35,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,36,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,36,,-,16,,5,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,36,,-,3,,1,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,36,,-,1,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,36,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,36,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,36,,-,90,,2,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,36,,-,8,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,36,,-,67,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,36,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,36,2,,52,,2,,99,,114,,79,,115,,115,,TX (2 )
Chancroid,2014,36,,-,13,,0,,10,,15,,8,,24,,28,,
Cholera,2014,36,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,36,10,,326,,6,,784,,123,,151,,179,,141,,TX (10 )
Diphtheria,2014,36,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,36,1,,17,,1,,31,,30,,14,,23,,35,,TX (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,36,,-,118,,2,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,36,,-,164,,3,,185,,210,,226,,223,,178,,
Hansen disease§,2014,36,,-,40,,1,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,36,,-,16,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,36,1,,119,,8,,329,,274,,290,,266,,242,,MT (1 )
"Hepatitis B, virus infection perinatal",2014,36,,-,25,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,36,,-,101,,1,,161,,52,,118,,61,,358,,
Leptospirosis,2014,36,2,,9,,0,,,NN,,NN,,NN,,NN,,NN,OH (2 )
Listeriosis,2014,36,11,,385,,24,,735,,727,,870,,821,,851,,"RI (1 ), NY (2 ), NYC (1 ), PA (3 ), MD (1 ), VA (1 ), FL (1 ), WA (1 )"
Measles§§,2014,36,,-,593,,2,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,36,,-,76,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,36,,-,40,,1,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,36,,-,17,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,36,2,,156,,5,,298,,260,,323,,406,,482,,"OH (1 ), TN (1 )"
Novel influenza A virus infections***,2014,36,,-,2,,132,,21,,313,,14,,4,,43774,,
Plague,2014,36,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,36,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,36,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,36,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,36,,-,86,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,36,,-,67,,2,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,36,,-,19,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,36,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,36,,-,8,,,-,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,36,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,36,1,,139,,2,,224,,194,,168,,142,,161,,NY (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,36,,-,153,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,36,,-,19,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,36,,-,34,,2,,71,,65,,78,,82,,74,,
Trichinellosis,2014,36,,-,10,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,36,2,,93,,3,,203,,149,,166,,124,,93,,"OK (1 ), CO (1 )"
Typhoid fever,2014,36,1,,198,,11,,338,,354,,390,,467,,397,,MT (1 )
Vancomycin-intermediate Staphylococcus aureus§,2014,36,1,,121,,2,,248,,134,,82,,91,,78,,FL (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,36,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,36,27,,632,,36,,1299,,1111,,832,,846,,789,,"RI (1 ), NY (2 ), NYC (1 ), PA (2 ), OH (1 ), MD (1 ), VA (1 ), FL (3 ), OK (1 ), TX (4 ), AZ (1 ), WA (8 ), OR (1 )"
Viral hemorrhagic fever¶¶¶,2014,36,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,37,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,37,,-,23,,5,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,37,,-,4,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,37,,-,3,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,37,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,37,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,37,,-,97,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,37,,-,12,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,37,,-,70,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,37,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,37,1,,52,,2,,99,,114,,79,,115,,115,,MI (1 )
Chancroid,2014,37,,-,14,,0,,10,,15,,8,,24,,28,,
Cholera,2014,37,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,37,2,,336,,4,,784,,123,,151,,179,,141,,"NY (1 ), NYC (1 )"
Diphtheria,2014,37,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,37,,-,17,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,37,,-,118,,2,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,37,1,,168,,3,,185,,210,,226,,223,,178,,GA (1 )
Hansen disease§,2014,37,,-,41,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,37,,-,17,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,37,5,,130,,8,,329,,274,,290,,266,,242,,"OH (2 ), MD (1 ), FL (1 ), AR (1 )"
"Hepatitis B, virus infection perinatal",2014,37,1,,27,,2,,48,,40,,,U,,U,,U,TN (1 )
"Influenza-associated pediatric mortality§,††",2014,37,1,,102,,2,,161,,52,,118,,61,,358,,TX (1 )
Leptospirosis,2014,37,,-,9,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,37,16,,420,,24,,735,,727,,870,,821,,851,,"RI (2 ), NYC (1 ), PA (2 ), OH (5 ), VA (3 ), FL (1 ), CO (1 ), WA (1 )"
Measles§§,2014,37,1,,593,,2,,187,,55,,220,,63,,71,,TX (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,37,,-,77,,2,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,37,,-,40,,1,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,37,,-,18,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,37,2,,159,,5,,298,,260,,323,,406,,482,,"FL (1 ), TN (1 )"
Novel influenza A virus infections***,2014,37,,-,2,,159,,21,,313,,14,,4,,43774,,
Plague,2014,37,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,37,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,37,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,37,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,37,,-,90,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,37,,-,70,,2,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,37,,-,20,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,37,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,37,,-,8,,,-,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,37,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,37,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,37,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,37,1,,140,,2,,224,,194,,168,,142,,161,,KY (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,37,,-,163,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,37,,-,19,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,37,,-,34,,2,,71,,65,,78,,82,,74,,
Trichinellosis,2014,37,,-,10,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,37,,-,99,,3,,203,,149,,166,,124,,93,,
Typhoid fever,2014,37,4,,211,,10,,338,,354,,390,,467,,397,,"NY (1 ), MD (1 ), MT (2 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,37,2,,124,,2,,248,,134,,82,,91,,78,,"NY (1 ), FL (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,37,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,37,22,,684,,33,,1299,,1111,,832,,846,,789,,"NY (5 ), NYC (3 ), OH (1 ), MD (2 ), VA (2 ), FL (6 ), WA (2 ), AK (1 )"
Viral hemorrhagic fever¶¶¶,2014,37,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,37,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,38,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,38,,-,30,,4,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,38,,-,4,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,38,,-,3,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,38,,-,3,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,38,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,38,,-,100,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,38,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,38,,-,72,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,38,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,38,1,,54,,2,,99,,114,,79,,115,,115,,TX (1 )
Chancroid,2014,38,,-,14,,0,,10,,15,,8,,24,,28,,
Cholera,2014,38,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,38,,-,337,,3,,784,,123,,151,,179,,141,,
Diphtheria,2014,38,,-,1,,,-,,-,1,,,-,,-,,-,
